Date Reported to CDC,Race and Ethnicity,Vaccination Coverage Status,Pregnancy Status at Vaccination,Vaccination Coverage Percentage (%),Denominator,Race Sort Order,Visual Figure Number
03/13/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,0.1,111269,1,1
03/13/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,0.1,111269,1,1
03/13/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,2.6,111269,1,1
03/20/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,0.1,114537,1,1
03/20/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,0.2,114537,1,1
03/20/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,2.9,114537,1,1
03/27/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,0.1,116789,1,1
03/27/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,0.3,116789,1,1
03/27/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,3.3,116789,1,1
04/03/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,0.2,122330,1,1
04/03/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,0.4,122330,1,1
04/03/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,3.9,122330,1,1
04/10/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,0.2,120627,1,1
04/10/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,0.4,120627,1,1
04/10/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,4.8,120627,1,1
04/17/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,0.3,126770,1,1
04/17/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,0.5,126770,1,1
04/17/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,5.7,126770,1,1
04/24/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,0.4,129876,1,1
04/24/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,0.5,129876,1,1
04/24/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,7.3,129876,1,1
05/01/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,0.6,133399,1,1
05/01/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,0.6,133399,1,1
05/01/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,8.9,133399,1,1
05/08/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,0.8,137065,1,1
05/08/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,0.7,137065,1,1
05/08/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,10.3,137065,1,1
05/15/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,1.1,140203,1,1
05/15/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,0.9,140203,1,1
05/15/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,12.3,140203,1,1
05/22/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,1.3,142719,1,1
05/22/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,1,142719,1,1
05/22/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,13.4,142719,1,1
05/29/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,1.6,145944,1,1
05/29/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,1.2,145944,1,1
05/29/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,14.2,145944,1,1
06/05/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,1.9,149202,1,1
06/05/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,1.3,149202,1,1
06/05/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,15,149202,1,1
06/12/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,2.2,151782,1,1
06/12/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,1.4,151782,1,1
06/12/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,15.7,151782,1,1
06/19/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,2.6,154784,1,1
06/19/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,1.6,154784,1,1
06/19/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,16.2,154784,1,1
06/26/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,3,157597,1,1
06/26/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,1.7,157597,1,1
06/26/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,16.6,157597,1,1
07/03/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,3,157590,1,1
07/03/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,1.7,157590,1,1
07/03/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,17,157590,1,1
07/10/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,3.8,163575,1,1
07/10/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,2,163575,1,1
07/10/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,17.1,163575,1,1
07/17/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,4.3,165964,1,1
07/17/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,2.1,165964,1,1
07/17/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,17.2,165964,1,1
07/24/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,4.9,168727,1,1
07/24/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,2.2,168727,1,1
07/24/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,17.3,168727,1,1
07/31/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,5.5,171236,1,1
07/31/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,2.3,171236,1,1
07/31/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,17.6,171236,1,1
08/07/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,6.2,174744,1,1
08/07/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,2.4,174744,1,1
08/07/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,17.5,174744,1,1
08/14/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,6.5,176219,1,1
08/14/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,2.4,176219,1,1
08/14/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,17.7,176219,1,1
08/21/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,7.2,178134,1,1
08/21/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,2.5,178134,1,1
08/21/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,17.7,178134,1,1
08/28/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,8.1,182381,1,1
08/28/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,2.5,182381,1,1
08/28/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,17.8,182381,1,1
09/04/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,8.8,185220,1,1
09/04/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,2.5,185220,1,1
09/04/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,17.9,185220,1,1
09/11/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,9.4,187995,1,1
09/11/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,2.6,187995,1,1
09/11/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,18.1,187995,1,1
09/18/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,10,189986,1,1
09/18/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,2.6,189986,1,1
09/18/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,18.4,189986,1,1
09/25/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,10.7,192495,1,1
09/25/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,2.6,192495,1,1
09/25/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,18.9,192495,1,1
10/02/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,11.4,195089,1,1
10/02/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,2.6,195089,1,1
10/02/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,19.1,195089,1,1
10/09/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,12,197020,1,1
10/09/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,2.6,197020,1,1
10/09/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,19.2,197020,1,1
10/16/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,12.5,198314,1,1
10/16/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,2.6,198314,1,1
10/16/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,19.2,198314,1,1
10/23/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,12.8,199118,1,1
10/23/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,2.6,199118,1,1
10/23/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,19.2,199118,1,1
10/30/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,13.3,200382,1,1
10/30/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,2.6,200382,1,1
10/30/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,19.2,200382,1,1
03/13/2021,All Races/Ethnicity,Fully Vaccinated,Any,2.8,111269,1,2
03/13/2021,"Asian, NH",Fully Vaccinated,Any,4.9,16302,2,2
03/13/2021,"Black, NH",Fully Vaccinated,Any,0.9,8576,3,2
03/13/2021,Hispanic/Latino,Fully Vaccinated,Any,1.5,36361,4,2
03/13/2021,"Other, NH",Fully Vaccinated,Any,2.7,5179,5,2
03/13/2021,"White, NH",Fully Vaccinated,Any,3.7,38431,6,2
03/20/2021,All Races/Ethnicity,Fully Vaccinated,Any,3.3,114537,1,2
03/20/2021,"Asian, NH",Fully Vaccinated,Any,5.4,16771,2,2
03/20/2021,"Black, NH",Fully Vaccinated,Any,1,8814,3,2
03/20/2021,Hispanic/Latino,Fully Vaccinated,Any,1.9,37479,4,2
03/20/2021,"Other, NH",Fully Vaccinated,Any,3.6,5318,5,2
03/20/2021,"White, NH",Fully Vaccinated,Any,4.2,39416,6,2
03/27/2021,All Races/Ethnicity,Fully Vaccinated,Any,3.7,116789,1,2
03/27/2021,"Asian, NH",Fully Vaccinated,Any,5.9,17060,2,2
03/27/2021,"Black, NH",Fully Vaccinated,Any,1.2,8986,3,2
03/27/2021,Hispanic/Latino,Fully Vaccinated,Any,2.2,37921,4,2
03/27/2021,"Other, NH",Fully Vaccinated,Any,3.3,5392,5,2
03/27/2021,"White, NH",Fully Vaccinated,Any,4.8,40155,6,2
04/03/2021,All Races/Ethnicity,Fully Vaccinated,Any,4.5,122330,1,2
04/03/2021,"Asian, NH",Fully Vaccinated,Any,7.1,17757,2,2
04/03/2021,"Black, NH",Fully Vaccinated,Any,1.4,9402,3,2
04/03/2021,Hispanic/Latino,Fully Vaccinated,Any,2.7,39448,4,2
04/03/2021,"Other, NH",Fully Vaccinated,Any,4,6574,5,2
04/03/2021,"White, NH",Fully Vaccinated,Any,5.9,41816,6,2
04/10/2021,All Races/Ethnicity,Fully Vaccinated,Any,5.4,120627,1,2
04/10/2021,"Asian, NH",Fully Vaccinated,Any,8.4,17835,2,2
04/10/2021,"Black, NH",Fully Vaccinated,Any,1.7,9217,3,2
04/10/2021,Hispanic/Latino,Fully Vaccinated,Any,3.4,38443,4,2
04/10/2021,"Other, NH",Fully Vaccinated,Any,5,5679,5,2
04/10/2021,"White, NH",Fully Vaccinated,Any,7.1,41889,6,2
04/17/2021,All Races/Ethnicity,Fully Vaccinated,Any,6.6,126770,1,2
04/17/2021,"Asian, NH",Fully Vaccinated,Any,10.1,18449,2,2
04/17/2021,"Black, NH",Fully Vaccinated,Any,2,9986,3,2
04/17/2021,Hispanic/Latino,Fully Vaccinated,Any,4.1,41654,4,2
04/17/2021,"Other, NH",Fully Vaccinated,Any,6.3,5841,5,2
04/17/2021,"White, NH",Fully Vaccinated,Any,8.7,43371,6,2
04/24/2021,All Races/Ethnicity,Fully Vaccinated,Any,8.3,129876,1,2
04/24/2021,"Asian, NH",Fully Vaccinated,Any,12.5,18823,2,2
04/24/2021,"Black, NH",Fully Vaccinated,Any,2.6,10201,3,2
04/24/2021,Hispanic/Latino,Fully Vaccinated,Any,5.3,42618,4,2
04/24/2021,"Other, NH",Fully Vaccinated,Any,7.6,5974,5,2
04/24/2021,"White, NH",Fully Vaccinated,Any,10.9,44256,6,2
05/01/2021,All Races/Ethnicity,Fully Vaccinated,Any,10.2,133399,1,2
05/01/2021,"Asian, NH",Fully Vaccinated,Any,15.5,19400,2,2
05/01/2021,"Black, NH",Fully Vaccinated,Any,3.3,10414,3,2
05/01/2021,Hispanic/Latino,Fully Vaccinated,Any,6.8,43781,4,2
05/01/2021,"Other, NH",Fully Vaccinated,Any,9.5,6165,5,2
05/01/2021,"White, NH",Fully Vaccinated,Any,13,45402,6,2
05/08/2021,All Races/Ethnicity,Fully Vaccinated,Any,11.8,137065,1,2
05/08/2021,"Asian, NH",Fully Vaccinated,Any,18,19849,2,2
05/08/2021,"Black, NH",Fully Vaccinated,Any,4.1,10770,3,2
05/08/2021,Hispanic/Latino,Fully Vaccinated,Any,8.2,44935,4,2
05/08/2021,"Other, NH",Fully Vaccinated,Any,10.9,6345,5,2
05/08/2021,"White, NH",Fully Vaccinated,Any,14.7,46658,6,2
05/15/2021,All Races/Ethnicity,Fully Vaccinated,Any,14.3,140203,1,2
05/15/2021,"Asian, NH",Fully Vaccinated,Any,20.7,20355,2,2
05/15/2021,"Black, NH",Fully Vaccinated,Any,4.9,11056,3,2
05/15/2021,Hispanic/Latino,Fully Vaccinated,Any,9.8,46260,4,2
05/15/2021,"Other, NH",Fully Vaccinated,Any,13.1,6402,5,2
05/15/2021,"White, NH",Fully Vaccinated,Any,18.3,47620,6,2
05/22/2021,All Races/Ethnicity,Fully Vaccinated,Any,15.8,142719,1,2
05/22/2021,"Asian, NH",Fully Vaccinated,Any,23.1,20748,2,2
05/22/2021,"Black, NH",Fully Vaccinated,Any,5.6,11265,3,2
05/22/2021,Hispanic/Latino,Fully Vaccinated,Any,11,47073,4,2
05/22/2021,"Other, NH",Fully Vaccinated,Any,14.6,6514,5,2
05/22/2021,"White, NH",Fully Vaccinated,Any,19.9,48395,6,2
05/29/2021,All Races/Ethnicity,Fully Vaccinated,Any,17,145944,1,2
05/29/2021,"Asian, NH",Fully Vaccinated,Any,25,21188,2,2
05/29/2021,"Black, NH",Fully Vaccinated,Any,6.2,11568,3,2
05/29/2021,Hispanic/Latino,Fully Vaccinated,Any,12,48166,4,2
05/29/2021,"Other, NH",Fully Vaccinated,Any,15.9,6690,5,2
05/29/2021,"White, NH",Fully Vaccinated,Any,21,49302,6,2
06/05/2021,All Races/Ethnicity,Fully Vaccinated,Any,18.2,149202,1,2
06/05/2021,"Asian, NH",Fully Vaccinated,Any,27,21736,2,2
06/05/2021,"Black, NH",Fully Vaccinated,Any,6.8,11920,3,2
06/05/2021,Hispanic/Latino,Fully Vaccinated,Any,13,49280,4,2
06/05/2021,"Other, NH",Fully Vaccinated,Any,17.4,6892,5,2
06/05/2021,"White, NH",Fully Vaccinated,Any,22.3,50471,6,2
06/12/2021,All Races/Ethnicity,Fully Vaccinated,Any,19.3,151782,1,2
06/12/2021,"Asian, NH",Fully Vaccinated,Any,29,22207,2,2
06/12/2021,"Black, NH",Fully Vaccinated,Any,7.5,12152,3,2
06/12/2021,Hispanic/Latino,Fully Vaccinated,Any,13.9,50456,4,2
06/12/2021,"Other, NH",Fully Vaccinated,Any,18.5,6970,5,2
06/12/2021,"White, NH",Fully Vaccinated,Any,23.2,51257,6,2
06/19/2021,All Races/Ethnicity,Fully Vaccinated,Any,20.4,154784,1,2
06/19/2021,"Asian, NH",Fully Vaccinated,Any,30.6,22571,2,2
06/19/2021,"Black, NH",Fully Vaccinated,Any,8.2,12366,3,2
06/19/2021,Hispanic/Latino,Fully Vaccinated,Any,14.9,51492,4,2
06/19/2021,"Other, NH",Fully Vaccinated,Any,19.7,7122,5,2
06/19/2021,"White, NH",Fully Vaccinated,Any,24.2,52208,6,2
06/26/2021,All Races/Ethnicity,Fully Vaccinated,Any,21.3,157597,1,2
06/26/2021,"Asian, NH",Fully Vaccinated,Any,32.1,22949,2,2
06/26/2021,"Black, NH",Fully Vaccinated,Any,8.8,12613,3,2
06/26/2021,Hispanic/Latino,Fully Vaccinated,Any,15.7,52509,4,2
06/26/2021,"Other, NH",Fully Vaccinated,Any,20.7,7270,5,2
06/26/2021,"White, NH",Fully Vaccinated,Any,25,53018,6,2
07/03/2021,All Races/Ethnicity,Fully Vaccinated,Any,21.7,157590,1,2
07/03/2021,"Asian, NH",Fully Vaccinated,Any,32.7,22976,2,2
07/03/2021,"Black, NH",Fully Vaccinated,Any,9.1,12609,3,2
07/03/2021,Hispanic/Latino,Fully Vaccinated,Any,16.2,52526,4,2
07/03/2021,"Other, NH",Fully Vaccinated,Any,21.2,7276,5,2
07/03/2021,"White, NH",Fully Vaccinated,Any,25.3,53032,6,2
07/10/2021,All Races/Ethnicity,Fully Vaccinated,Any,23,163575,1,2
07/10/2021,"Asian, NH",Fully Vaccinated,Any,34.3,23777,2,2
07/10/2021,"Black, NH",Fully Vaccinated,Any,9.9,13158,3,2
07/10/2021,Hispanic/Latino,Fully Vaccinated,Any,17.5,54414,4,2
07/10/2021,"Other, NH",Fully Vaccinated,Any,22.4,7541,5,2
07/10/2021,"White, NH",Fully Vaccinated,Any,26.6,54885,6,2
07/17/2021,All Races/Ethnicity,Fully Vaccinated,Any,23.7,165964,1,2
